Network,Content type,Content
facebook,Comment,Loooks great .
facebook,Comment,Where at??)
facebook,Comment,I still want that big clock on the wall lol 😊
facebook,Comment,Hello Do you need an employee ?
facebook,Comment,Nice
facebook,Comment,"Wow! And I must say I'm very impressed with your profile and the posts you shared here. I don’t usually write here, but I think you deserve such a compliment. I tried sending you a friend request but failed. I'll be glad if we can be friends, If yes, kindly send me a friend request, or better still leave a message. Thank you because I think myself lucky enough to have a friend like you in my life."
facebook,Comment,We’re so excited to be part of this year’s National Thrift Store Day with our partners Bissell Thrift Shop & The Mustard Seed Thrift Store Edmonton! Thanks to Homeward Trust and our amazing community for supporting local thrift and housing efforts. Can’t wait to see everyone out on August 16!
facebook,Comment,So grateful to our incredible community supporters for this event. These prizes are AWESOME!!!
facebook,Comment,Happy 5 th anniversary
facebook,Comment,Do you accept women clothing for direct distribution to the homeless?
tiktok,Comment,I love coffee 😍😍😍☕️☕️☕️☕️
tiktok,Comment,👍
tiktok,Comment,I would love to be on your show!! We are a new community project in Calgary supporting marginalized men through creativity!
tiktok,Comment,The Mustard Seed is an amazing organization! please keep up the great work you do
tiktok,Comment,What a great organization. Everyone deserves respect ♥️
tiktok,Comment,Human dignity for everyone.
tiktok,Comment,as someone who's relying on the seed right now. these guys are truly amazing❤️
tiktok,Comment,May I suggest better tape. Packing tape maybe
tiktok,Comment,❤️❤️❤️
tiktok,Comment,We have the same last name..
tiktok,Comment,Very true. Finances and inflation has caused tremendous issues for all Calgarians.
tiktok,Comment,Which city are you operating out of?
tiktok,Comment,Isn't this attached to the crooked Nixon family? 😳
tiktok,Comment,Do you remember if they have shoes in store?
tiktok,Comment,We like your profile 💕we love to Collab with you 💞if you interested to be an ambassador of Melery 🫶🏻 DM us on email in my bio to learn more✨ brandmanagerml1@gmail.com
tiktok,Comment,Wow. ma'am
tiktok,Comment,👏👏
tiktok,Comment,I was a shelter shift supervisor for mustard seed. best year of my life. ❤️
tiktok,Comment,I own a shipping container modification facility in Edmonton. My goal is to eventually enter into this space.. I would really love to help construct affordable tiny housing to help the homeless population here in Edmonton and surrounding areas.
tiktok,Comment,"I am familiar with mustard seed so i watched all the way through and i know you’re working with nothing budgets in a provincial govt that doesn’t care, but maybe get some volunteers to help with social media?"
tiktok,Comment,😭
tiktok,Comment,Never knew Under Armour supported such amazing charitable work.
